"code1","code2","source"
"RXNORM:1418","PheCode:698","may treat(jun)"
"RXNORM:1418","PheCode:706.1","may treat(jun)"
"RXNORM:1418","PheCode:687.1","may treat(jun)"
"RXNORM:1418","PheCode:939","may treat(jun)"
"RXNORM:1418","PheCode:695.8","may treat(jun)"
"RXNORM:1418","PheCode:690.1","may treat(jun)"
"RXNORM:1422","PheCode:278.1","may treat(jun)"
"RXNORM:1424","PheCode:333","may treat(jun)"
"RXNORM:1424","PheCode:332","may treat(jun)"
"RXNORM:1424","PheCode:315.3","may treat(jun)"
"RXNORM:1424","PheCode:349","may treat(jun)"
"RXNORM:1426","PheCode:939","may treat(jun)"
"RXNORM:1426","PheCode:698","may treat(jun)"
"RXNORM:1514","PheCode:204.1","may treat(jun)"
"RXNORM:1514","PheCode:284.2","may treat(jun)"
"RXNORM:1514","PheCode:726.1","may treat(jun)"
"RXNORM:1514","PheCode:379.5","may treat(jun)"
"RXNORM:1514","PheCode:697","may treat(jun)"
"RXNORM:1514","PheCode:729","may treat(jun)"
"RXNORM:1514","PheCode:255.3","may treat(jun)"
"RXNORM:1514","PheCode:NA","may treat(jun)"
"RXNORM:1514","PheCode:348.2","may treat(jun)"
"RXNORM:1514","PheCode:714.2","may treat(jun)"
"RXNORM:1514","PheCode:476","may treat(jun)"
"RXNORM:1514","PheCode:558","may treat(jun)"
"RXNORM:1514","PheCode:202.2","may treat(jun)"
"RXNORM:1514","PheCode:255.21","may treat(jun)"
"RXNORM:1514","PheCode:134.1","may treat(jun)"
"RXNORM:1514","PheCode:851","may treat(jun)"
"RXNORM:1514","PheCode:110.13","may treat(jun)"
"RXNORM:1514","PheCode:274.11","may treat(jun)"
"RXNORM:1514","PheCode:277.6","may treat(jun)"
"RXNORM:1514","PheCode:695.42","may treat(jun)"
"RXNORM:1514","PheCode:695.8","may treat(jun)"
"RXNORM:1514","PheCode:500.2","may treat(jun)"
"RXNORM:1514","PheCode:696.42","may treat(jun)"
"RXNORM:1514","PheCode:939","may treat(jun)"
"RXNORM:1514","PheCode:695.41","may treat(jun)"
"RXNORM:1514","PheCode:473","may treat(jun)"
"RXNORM:1514","PheCode:283.1","may treat(jun)"
"RXNORM:1514","PheCode:727.1","may treat(jun)"
"RXNORM:1514","PheCode:690.1","may treat(jun)"
"RXNORM:1514","PheCode:580.2","may treat(jun)"
"RXNORM:1514","PheCode:1011","may treat(jun)"
"RXNORM:1514","PheCode:360","may treat(jun)"
"RXNORM:1514","PheCode:110.12","may treat(jun)"
"RXNORM:1514","PheCode:695.7","may treat(jun)"
"RXNORM:1514","PheCode:010","may treat(jun)"
"RXNORM:1514","PheCode:394.4","may treat(jun)"
"RXNORM:1514","PheCode:245","may treat(jun)"
"RXNORM:1514","PheCode:696.41","may treat(jun)"
"RXNORM:1514","PheCode:501","may treat(jun)"
"RXNORM:1514","PheCode:740.12","may treat(jun)"
"RXNORM:1514","PheCode:495","may treat(jun)"
"RXNORM:1514","PheCode:687.1","may treat(jun)"
"RXNORM:1514","PheCode:698","may treat(jun)"
"RXNORM:1514","PheCode:695.22","may treat(jun)"
"RXNORM:1514","PheCode:452","may treat(jun)"
"RXNORM:1514","PheCode:555.1","may treat(jun)"
"RXNORM:1514","PheCode:275.6","may treat(jun)"
"RXNORM:1514","PheCode:695.21","may treat(jun)"
"RXNORM:1514","PheCode:727","may treat(jun)"
"RXNORM:1514","PheCode:709.7","may treat(jun)"
"RXNORM:1514","PheCode:335","may treat(jun)"
"RXNORM:1514","PheCode:689","may treat(jun)"
"RXNORM:1514","PheCode:201","may treat(jun)"
"RXNORM:1514","PheCode:714.1","may treat(jun)"
"RXNORM:1514","PheCode:695.1","may treat(jun)"
"RXNORM:1520","PheCode:401.1","may treat(jun)"
"RXNORM:1520","PheCode:365.1","may treat(jun)"
"RXNORM:1520","PheCode:365","may treat(jun)"
"RXNORM:1588","PheCode:261.2","may treat(jun)"
"RXNORM:1596","PheCode:561","may treat(jun)"
"RXNORM:1596","PheCode:979","may treat(jun)"
"RXNORM:1622","PheCode:201","may treat(jun)"
"RXNORM:1622","PheCode:195.1","may treat(jun)"
"RXNORM:1622","PheCode:202.22","may treat(jun)"
"RXNORM:1622","PheCode:180.1","may treat(jun)"
"RXNORM:1622","PheCode:NA","may treat(jun)"
"RXNORM:1622","PheCode:202.2","may treat(jun)"
"RXNORM:1622","PheCode:187.1","may treat(jun)"
"RXNORM:1622","PheCode:195.3","may treat(jun)"
"RXNORM:1760","PheCode:315.3","may treat(jun)"
"RXNORM:1760","PheCode:349","may treat(jun)"
"RXNORM:1760","PheCode:253.1","may treat(jun)"
"RXNORM:1808","PheCode:782.3","may treat(jun)"
"RXNORM:1813","PheCode:365.1","may treat(jun)"
"RXNORM:1813","PheCode:365","may treat(jun)"
"RXNORM:1815","PheCode:939","may treat(jun)"
"RXNORM:1815","PheCode:NA","may treat(jun)"
"RXNORM:1815","PheCode:698","may treat(jun)"
"RXNORM:1819","PheCode:175","may treat(jun)"
"RXNORM:1819","PheCode:338.1","may treat(jun)"
"RXNORM:1819","PheCode:316","may treat(jun)"
"RXNORM:1819","PheCode:NA","may treat(jun)"
"RXNORM:1827","PheCode:300.11","may treat(jun)"
"RXNORM:1828","PheCode:NA","may treat(jun)"
"RXNORM:1841","PheCode:338.1","may treat(jun)"
"RXNORM:1841","PheCode:NA","may treat(jun)"
"RXNORM:1886","PheCode:479","may treat(jun)"
"RXNORM:1886","PheCode:306.9","may treat(jun)"
"RXNORM:1886","PheCode:NA","may treat(jun)"
"RXNORM:1886","PheCode:476","may treat(jun)"
"RXNORM:1886","PheCode:340","may treat(jun)"
"RXNORM:1886","PheCode:339","may treat(jun)"
"RXNORM:1886","PheCode:760","may treat(jun)"
"RXNORM:1886","PheCode:465","may treat(jun)"
"RXNORM:1886","PheCode:656.26","may treat(jun)"
"RXNORM:1886","PheCode:350.1","may treat(jun)"
"RXNORM:1886","PheCode:626.2","may treat(jun)"
"RXNORM:1886","PheCode:338.1","may treat(jun)"
"RXNORM:1886","PheCode:79.9","may treat(jun)"
"RXNORM:1886","PheCode:745","may treat(jun)"
"RXNORM:1889","PheCode:588.1","may treat(jun)"
"RXNORM:1889","PheCode:261.41","may treat(jun)"
"RXNORM:1889","PheCode:275.53","may treat(jun)"
"RXNORM:1889","PheCode:275.51","may treat(jun)"
"RXNORM:1894","PheCode:275.53","may treat(jun)"
"RXNORM:1894","PheCode:588.1","may treat(jun)"
"RXNORM:1894","PheCode:252.2","may treat(jun)"
"RXNORM:1894","PheCode:275.51","may treat(jun)"
"RXNORM:1894","PheCode:696.41","may treat(jun)"
"RXNORM:1897","PheCode:275.51","may treat(jun)"
"RXNORM:1897","PheCode:536.8","may treat(jun)"
"RXNORM:1901","PheCode:275.51","may treat(jun)"
"RXNORM:1901","PheCode:275.3","may treat(jun)"
"RXNORM:1901","PheCode:790.6","may treat(jun)"
"RXNORM:1901","PheCode:427.42","may treat(jun)"
"RXNORM:1901","PheCode:276.13","may treat(jun)"
"RXNORM:1901","PheCode:276.1","may treat(jun)"
"RXNORM:1908","PheCode:743.11","may treat(jun)"
"RXNORM:1908","PheCode:275.51","may treat(jun)"
"RXNORM:1992","PheCode:766","may treat(jun)"
"RXNORM:1992","PheCode:760","may treat(jun)"
"RXNORM:1992","PheCode:53.1","may treat(jun)"
"RXNORM:1998","PheCode:401.1","may treat(jun)"
"RXNORM:1998","PheCode:428.2","may treat(jun)"
"RXNORM:1998","PheCode:428.1","may treat(jun)"
"RXNORM:1998","PheCode:250.22","may treat(jun)"
"RXNORM:2002","PheCode:345.11","may treat(jun)"
"RXNORM:2002","PheCode:345.12","may treat(jun)"
"RXNORM:2002","PheCode:352.1","may treat(jun)"
"RXNORM:2002","PheCode:753","may treat(jun)"
"RXNORM:2002","PheCode:296.1","may treat(jun)"
"RXNORM:2002","PheCode:352","may treat(jun)"
"RXNORM:2019","PheCode:349","may treat(jun)"
"RXNORM:2019","PheCode:315.3","may treat(jun)"
"RXNORM:2019","PheCode:332","may treat(jun)"
"RXNORM:2101","PheCode:760","may treat(jun)"
"RXNORM:2101","PheCode:350.1","may treat(jun)"
"RXNORM:2105","PheCode:201","may treat(jun)"
"RXNORM:2105","PheCode:191.11","may treat(jun)"
"RXNORM:2105","PheCode:202.2","may treat(jun)"
"RXNORM:2105","PheCode:204.4","may treat(jun)"
"RXNORM:2105","PheCode:202.22","may treat(jun)"
"RXNORM:2105","PheCode:NA","may treat(jun)"
"RXNORM:2116","PheCode:365.1","may treat(jun)"
"RXNORM:2116","PheCode:365","may treat(jun)"
"RXNORM:2116","PheCode:401.1","may treat(jun)"
"RXNORM:2176","PheCode:483","may treat(jun)"
"RXNORM:2176","PheCode:474.1","may treat(jun)"
"RXNORM:2176","PheCode:381.11","may treat(jun)"
"RXNORM:2176","PheCode:41.2","may treat(jun)"
"RXNORM:2176","PheCode:NA","may treat(jun)"
"RXNORM:2176","PheCode:465","may treat(jun)"
"RXNORM:2176","PheCode:480.1","may treat(jun)"
"RXNORM:2176","PheCode:591","may treat(jun)"
"RXNORM:2176","PheCode:41.11","may treat(jun)"
"RXNORM:2176","PheCode:079","may treat(jun)"
"RXNORM:2176","PheCode:519.8","may treat(jun)"
"RXNORM:2176","PheCode:480","may treat(jun)"
"RXNORM:2176","PheCode:465.2","may treat(jun)"
"RXNORM:2177","PheCode:591","may treat(jun)"
"RXNORM:2177","PheCode:41.11","may treat(jun)"
"RXNORM:2177","PheCode:41.2","may treat(jun)"
"RXNORM:2177","PheCode:041","may treat(jun)"
"RXNORM:2177","PheCode:41.4","may treat(jun)"
"RXNORM:2177","PheCode:474.1","may treat(jun)"
"RXNORM:2177","PheCode:NA","may treat(jun)"
